trip_uuid,Line_Id,source_center,destination_center
trip-153671041653548748,1,IND462022AAA,IND209304AAA
trip-153671041653548748,2,IND209304AAA,IND000000ACB
trip-153671042288605164,1,IND572101AAA,IND561203AAB
trip-153671042288605164,2,IND561203AAB,IND562101AAA
trip-153671043369099517,1,IND562132AAA,IND000000ACB
trip-153671043369099517,2,IND000000ACB,IND160002AAC
trip-153671046011330457,1,IND400072AAB,IND401104AAA
trip-153671052974046625,1,IND583101AAA,IND583201AAA
trip-153671052974046625,2,IND583201AAA,IND583119AAA
trip-153671052974046625,3,IND583119AAA,IND583101AAA
trip-153671055416136166,1,IND600116AAB,IND600056AAA
trip-153671055416136166,2,IND600056AAA,IND602105AAB
trip-153671066201138152,1,IND600044AAD,IND600048AAA
trip-153671066826362165,1,IND560043AAC,IND560064AAA
trip-153671066826362165,2,IND560064AAD,IND560043AAC
trip-153671074033284934,1,IND395023AAD,IND395004AAB
trip-153671074033284934,2,IND395009AAA,IND395023AAD
trip-153671079956500691,1,IND110024AAA,IND110014AAA
trip-153671090980523004,1,IND412105AAC,IND411017AAA
trip-153671110078355292,1,IND121004AAB,IND121001AAA
trip-153671117375890592,1,IND416012AAA,IND415612AAA
trip-153671117375890592,2,IND415612AAA,IND415408AAC
trip-153671117375890592,3,IND415408AAC,IND416012AAA
trip-153671121411074590,1,IND501359AAE,IND515004AAA
trip-153671121411074590,2,IND515004AAA,IND562132AAA
trip-153671122262300031,1,IND508223AAA,IND500039AAC
trip-153671127071609610,1,IND585104AAA,IND586128AAA
trip-153671127071609610,2,IND586128AAA,IND586211AAA
trip-153671127071609610,3,IND586211AAA,IND585314AAA
trip-153671127071609610,4,IND585314AAA,IND585104AAA
trip-153671128962918389,1,IND302014AAB,IND302026AAA
trip-153671128962918389,2,IND302020AAA,IND302014AAB
trip-153671143043841452,1,IND211002AAB,IND485001AAC
trip-153671173668736946,1,IND110043AAA,IND110078AAA
trip-153671174968648046,1,IND781005AAA,IND781018AAB
trip-153671186247781647,1,IND209304AAA,IND209801AAA
trip-153671186247781647,2,IND209801AAA,IND209304AAA
trip-153671191949943656,1,IND487001AAB,IND487551AAA
trip-153671191949943656,2,IND487551AAA,IND464668AAA
trip-153671202698783427,1,IND395023AAD,IND395006AAA
trip-153671202698783427,2,IND395001AAA,IND395023AAD
trip-153671224643574839,1,IND422011AAD,IND422103AAC
trip-153671224643574839,2,IND422103AAC,IND422605AAA
trip-153671224643574839,3,IND422605AAA,IND413709AAA
trip-153671224643574839,4,IND413709AAA,IND423109AAA
trip-153671224643574839,5,IND423109AAA,IND423601AAA
trip-153671224643574839,6,IND423601AAA,IND423701AAB
trip-153671224643574839,7,IND423701AAB,IND422011AAD
trip-153671225291120891,1,IND712310AAE,IND712124AAA
trip-153671225291120891,2,IND712124AAA,IND712103AAA
trip-153671225291120891,3,IND712103AAA,IND712310AAE
trip-153671236229420701,1,IND515301AAA,IND561202AAB
trip-153671236229420701,2,IND561202AAB,IND515134AAA
trip-153671237597058150,1,IND785690AAB,IND785682AAA
trip-153671240266732246,1,IND560300AAA,IND560099AAB
trip-153671256526597871,1,IND560300AAA,IND562132AAA
trip-153671262893947351,1,IND500055AAC,IND501401AAC
trip-153671262893947351,2,IND501401AAC,IND500010AAA
trip-153671277074687197,1,IND624001AAA,IND624619AAA
trip-153671277074687197,2,IND624619AAA,IND624601AAA
