,trip_uuid,data,route_type,is_cutoff
0,trip-153671041653548748,training,FTL,False
1,trip-153671042288605164,training,Carting,False
2,trip-153671043369099517,training,FTL,False
3,trip-153671046011330457,training,Carting,False
4,trip-153671052974046625,training,FTL,False
5,trip-153671055416136166,training,Carting,False
6,trip-153671066201138152,training,Carting,True
7,trip-153671066826362165,training,Carting,False
8,trip-153671074033284934,training,Carting,False
9,trip-153671079956500691,training,Carting,False
10,trip-153671090980523004,training,Carting,False
11,trip-153671110078355292,training,Carting,False
12,trip-153671117375890592,training,FTL,False
13,trip-153671121411074590,training,FTL,False
14,trip-153671122262300031,training,FTL,False
15,trip-153671127071609610,training,Carting,False
16,trip-153671128962918389,training,Carting,False
17,trip-153671143043841452,training,FTL,False
18,trip-153671173668736946,training,Carting,False
19,trip-153671174968648046,training,Carting,False
20,trip-153671186247781647,training,Carting,False
21,trip-153671191949943656,training,FTL,False
22,trip-153671202698783427,training,Carting,False
23,trip-153671224643574839,training,Carting,False
24,trip-153671225291120891,training,Carting,False
25,trip-153671236229420701,training,Carting,False
26,trip-153671237597058150,training,Carting,False
27,trip-153671240266732246,training,Carting,False
28,trip-153671256526597871,training,Carting,False
29,trip-153671262893947351,training,Carting,False
30,trip-153671277074687197,training,FTL,False
31,trip-153671279791474803,training,FTL,False
32,trip-153671287611744830,training,Carting,False
33,trip-153671289374432394,training,Carting,False
34,trip-153671292681185799,training,Carting,False
35,trip-153671306463580546,training,FTL,False
36,trip-153671307622926083,training,Carting,False
37,trip-153671310683457427,training,Carting,False
38,trip-153671314368581111,training,Carting,False
39,trip-153671320412492075,training,FTL,False
40,trip-153671320807895983,training,Carting,False
41,trip-153671321710455800,training,FTL,False
42,trip-153671326503717255,training,FTL,False
43,trip-153671328307356992,training,FTL,False
44,trip-153671339656068455,training,FTL,False
45,trip-153671343854097865,training,FTL,False
46,trip-153671379462714253,training,FTL,False
47,trip-153671387315368041,training,FTL,False
48,trip-153671393133297622,training,Carting,False
49,trip-153671398107484965,training,FTL,False
50,trip-153671402673350359,training,FTL,False
51,trip-153671437849482795,training,Carting,False
52,trip-153671440490445199,training,Carting,False
53,trip-153671448965568596,training,FTL,False
54,trip-153671453267549065,training,FTL,False
55,trip-153671453614506281,training,FTL,False
56,trip-153671464491487828,training,Carting,False
57,trip-153671494219272400,training,FTL,False
58,trip-153671505195307510,training,Carting,False
59,trip-153671506098357680,training,Carting,False
60,trip-153671508851597828,training,Carting,False
61,trip-153671531316758155,training,FTL,False
62,trip-153671547254076660,training,FTL,False
63,trip-153671549993828365,training,FTL,False
64,trip-153671572175509918,training,FTL,False
65,trip-153671574781365511,training,Carting,False
66,trip-153671590416667638,training,Carting,False
67,trip-153671602871109556,training,Carting,False
68,trip-153671643960185339,training,FTL,False
69,trip-153671645272011824,training,Carting,False
70,trip-153671655901475301,training,FTL,False
71,trip-153671674818301757,training,FTL,True
72,trip-153671695519287480,training,FTL,False
73,trip-153671703263480019,training,FTL,False
74,trip-153671706877291618,training,Carting,False
75,trip-153671715851493285,training,FTL,False
76,trip-153671717917876174,training,FTL,False
77,trip-153671723500134877,training,FTL,False
78,trip-153671726684858447,training,FTL,False
79,trip-153671735399307935,training,Carting,False
80,trip-153671735681324192,training,FTL,False
81,trip-153671742249756615,training,FTL,False
82,trip-153671752240019144,training,FTL,False
83,trip-153671801197508215,training,Carting,False
84,trip-153671803100571827,training,FTL,False
85,trip-153671804931054468,training,Carting,False
86,trip-153671808478450647,training,Carting,False
87,trip-153671811509671845,training,Carting,False
88,trip-153671813821616145,training,Carting,False
89,trip-153671817433368939,training,Carting,False
90,trip-153671827663864476,training,Carting,False
91,trip-153671843215737572,training,Carting,False
92,trip-153671844300881686,training,Carting,False
93,trip-153671846595383321,training,FTL,False
94,trip-153671851245407364,training,Carting,False
95,trip-153671851672781082,training,FTL,False
96,trip-153671873142397119,training,FTL,False
97,trip-153671876809484616,training,Carting,False
98,trip-153671879822845615,training,FTL,False
99,trip-153671889362601558,training,Carting,False
100,trip-153671894302046722,training,Carting,False
101,trip-153671897992909657,training,FTL,False
102,trip-153671899116229748,training,Carting,False
103,trip-153671899904329250,training,FTL,False
104,trip-153671942074761472,training,Carting,False
105,trip-153671954603403612,training,Carting,False
106,trip-153671961585258384,training,Carting,False
107,trip-153671962361707473,training,Carting,False
108,trip-153671968400207294,training,Carting,False
109,trip-153671974938064572,training,FTL,False
110,trip-153671988171824583,training,Carting,False
111,trip-153671998865037832,training,FTL,False
112,trip-153672000309775410,training,FTL,False
113,trip-153672012445728568,training,Carting,False
114,trip-153672019145222964,training,Carting,False
115,trip-153672022267158924,training,FTL,False
116,trip-153672026682746785,training,FTL,False
117,trip-153672034455004313,training,Carting,False
118,trip-153672049730580194,training,FTL,False
119,trip-153672051951158256,training,Carting,False
120,trip-153672052264703928,training,FTL,False
121,trip-153672060417747932,training,Carting,False
122,trip-153672067533390870,training,Carting,False
123,trip-153672070284937432,training,Carting,False
124,trip-153672099097862043,training,Carting,False
125,trip-153672101309094813,training,Carting,False
126,trip-153672103428781055,training,FTL,False
127,trip-153672127651656092,training,Carting,False
128,trip-153672142393733105,training,FTL,False
129,trip-153672147805561709,training,Carting,False
130,trip-153672159202422521,training,Carting,False
131,trip-153672204952303828,training,Carting,False
132,trip-153672205264952830,training,Carting,False
133,trip-153672222326898553,training,Carting,False
134,trip-153672224115676017,training,FTL,False
135,trip-153672239189693252,training,Carting,False
136,trip-153672275060033414,training,Carting,False
137,trip-153672275941814788,training,Carting,False
138,trip-153672303104231624,training,Carting,False
139,trip-153672303787286607,training,Carting,False
140,trip-153672307850855979,training,Carting,False
141,trip-153672319198219770,training,Carting,False
142,trip-153672353695971568,training,Carting,False
143,trip-153672354281727425,training,FTL,False
144,trip-153672365367028560,training,Carting,False
145,trip-153672376565321277,training,FTL,False
146,trip-153672379024249675,training,Carting,False
147,trip-153672395001586273,training,Carting,False
148,trip-153672404409295648,training,FTL,False
149,trip-153672405264707177,training,Carting,False
